facility,room,row,rack_id,rack_unit,unit_height,equipment_type,hostname,asset_tag,serial_number,manufacturer,model,cpu_sockets,ram_gb,power_draw_watts,power_circuit,pdu_port,network_port_primary,network_port_secondary,vlan_primary,ip_address_mgmt,ip_address_production,install_date,warranty_expiry,operational_status,thermal_zone,weight_lbs,cable_path,business_unit,application_mapped,notes
Facility A,Data Hall 3,Row A,NWK-R15,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R15-TEMP,SENS-37462,SN-SENS-884639,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.7.179,,2023-01-06,2029-01-04,Active,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-11-10
Facility A,Data Hall 1,Row F,NWK-R56,42U,0U,PDU,PDU-NWK-R56-B,PDU-95037,SN-PDU-236878,APC,APC AP8681,0,0,15,Ckt-B-3,N/A,Mgmt-1,,VLAN-200,10.100.5.211,,2019-08-20,2027-10-03,Active,Hot Aisle 1,6,Under-floor Path 2,Facilities,Power Distribution,Rated capacity: 17.3 kW
Facility A,Data Hall 3,Row A,NWK-R52,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R52-TEMP,SENS-96430,SN-SENS-253300,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.8.241,,2023-01-08,2029-04-03,Active,Cold Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-01-22
Facility A,Data Hall 2,Row H,NWK-R18,1U,1U,Patch Panel,PP-NWK-R18-Bottom,PP-22739,SN-PP-346205,CommScope,48-Port Cat6A,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-08-12,N/A,Active,Cold Aisle 3,6,Side Cable Mgmt,Facilities,Cabling Infrastructure,41 ports in use of 24 total
Facility A,Data Hall 2,Row C,NWK-R37,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R37-TEMP,SENS-35507,SN-SENS-450964,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.2.226,,2021-12-08,2029-02-08,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-05-03
Facility A,Data Hall 1,Row H,NWK-R05,35U,2U,WAN Optimizer,NET-WAN-46,NET-57235,SN-NET-838862,Arista,Arista 7050X,0,16,430,Ckt-B-8,PDU-B-21,Mgmt-1,Mgmt-2,VLAN-200,10.0.1.237,,2020-11-01,2027-06-16,Active,Cold Aisle 3,38,Overhead Tray B,IT Operations,Infrastructure,
Facility A,Data Hall 3,Row B,NWK-R19,20U,1U,Cable Management,CM-NWK-R19-20,CM-31299,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-10-24,N/A,Active,Cold Aisle 1,4,N/A,Facilities,Cable Management,
Facility A,Data Hall 1,Row D,NWK-R64,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R64-AIRF,SENS-93540,SN-SENS-633618,Vertiv,Geist Airflow Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.5.91,,2024-08-24,2029-03-08,Active,Hot Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-03-10
Facility A,Data Hall 1,Row D,NWK-R63,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R63-POWE,SENS-96772,SN-SENS-363871,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.2.54,,2022-07-04,2026-02-16,Active,Hot Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-07-17
Facility A,Data Hall 1,Row A,NWK-R42,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R42-POWE,SENS-82706,SN-SENS-783200,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.3.78,,2024-08-03,2027-03-12,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-09-14
Facility A,Data Hall 1,Row G,NWK-R20,35U,2U,Load Balancer,NET-LOA-22,NET-87580,SN-NET-695403,Palo,Palo Alto PA-3200,0,8,595,Ckt-A-4,PDU-B-09,Mgmt-1,Mgmt-2,VLAN-200,10.0.1.218,,2022-07-23,2028-06-15,Active,Cold Aisle 1,24,Overhead Tray A,IT Operations,Infrastructure,
Facility A,Data Hall 2,Row G,NWK-R47,N/A (Virtual),0U,Virtual Machine,VM-PRD-117,VM-31632,N/A,VMware,vSphere 7.0,0,128,0,N/A,N/A,vmnic7,vmnic2,VLAN-139,,10.10.2.43,2025-01-13,N/A,Suspended,Cold Aisle 3,0,N/A,Compliance & Regulatory,Prod_App_117,Guest OS: RHEL 8; vCPUs: 8; Host: SVR-NWK-072
Facility A,Data Hall 1,Row F,NWK-R11,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R11-HUMI,SENS-25531,SN-SENS-251448,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.3.204,,2022-04-18,2029-12-12,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-11-08
Facility A,Data Hall 1,Row B,NWK-R11,N/A (Virtual),0U,Virtual Machine,VM-PRD-093,VM-44237,N/A,VMware,vSphere 7.0,0,16,0,N/A,N/A,vmnic2,vmnic4,VLAN-102,,10.10.2.28,2021-10-14,N/A,Active,Cold Aisle 1,0,N/A,Trading Systems,Prod_App_93,Guest OS: RHEL 8; vCPUs: 8; Host: SVR-NWK-055
Facility A,Data Hall 3,Row G,NWK-R33,20U,1U,Cable Management,CM-NWK-R33-20,CM-31611,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-01-08,N/A,Active,Hot Aisle 2,3,N/A,Facilities,Cable Management,
Facility A,Data Hall 1,Row H,NWK-R38,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R38-TEMP,SENS-47965,SN-SENS-147652,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.10.16,,2022-12-27,2029-08-22,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-03-15
Facility A,Data Hall 3,Row D,NWK-R17,20U,1U,Cable Management,CM-NWK-R17-20,CM-29484,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-01-21,N/A,Active,Hot Aisle 2,5,N/A,Facilities,Cable Management,
Facility A,Data Hall 1,Row C,NWK-R68,42U,0U,PDU,PDU-NWK-R68-B,PDU-80570,SN-PDU-990714,Raritan,Raritan PX3-5902V,0,0,29,Ckt-B-2,N/A,Mgmt-4,,VLAN-200,10.100.4.126,,2021-10-20,2026-11-12,Active,Cold Aisle 2,7,Under-floor Path 2,Facilities,Power Distribution,Rated capacity: 8.6 kW
Facility A,Data Hall 3,Row A,NWK-R13,30U,1U,Cable Management,CM-NWK-R13-30,CM-78062,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2021-02-24,N/A,Active,Cold Aisle 2,2,N/A,Facilities,Cable Management,
Facility A,Data Hall 1,Row H,NWK-R31,25U,2U,Server,SVR-NWK-096,AST-1096,SN-DC-2023-0096,HPE,ProLiant DL380 Gen10,1,256,471,Ckt-B-5,PDU-A-24,Eth-14/1,Eth-3/4,VLAN-122,10.100.0.49,10.10.0.49,2024-02-18,2026-02-16,Active,Hot Aisle 1,53,Under-floor Path 2,Risk Analytics,App-18,
Facility A,Data Hall 3,Row D,NWK-R47,20U,1U,Cable Management,CM-NWK-R47-20,CM-52096,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2021-11-02,N/A,Active,Hot Aisle 1,3,N/A,Facilities,Cable Management,
Facility A,Data Hall 3,Row G,NWK-R51,20U,1U,Cable Management,CM-NWK-R51-20,CM-71925,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2020-12-16,N/A,Active,Cold Aisle 2,2,N/A,Facilities,Cable Management,
Facility A,Data Hall 3,Row G,NWK-R23,1U,1U,Patch Panel,PP-NWK-R23-Bottom,PP-24927,SN-PP-691240,Leviton,48-Port Cat6A Angled,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2020-11-25,N/A,Active,Cold Aisle 3,3,Under-floor Path 2,Facilities,Cabling Infrastructure,48 ports in use of 24 total
Facility A,Data Hall 1,Row E,NWK-R47,42U,0U,PDU,PDU-NWK-R47-B,PDU-69558,SN-PDU-634160,APC,APC AP8681,0,0,28,Ckt-B-8,N/A,Mgmt-4,,VLAN-200,10.100.6.58,,2020-07-20,2026-10-16,Active,Hot Aisle 2,13,Under-floor Path 1,Facilities,Power Distribution,Rated capacity: 8.6 kW
Facility A,Data Hall 2,Row A,NWK-R44,N/A (Virtual),0U,Virtual Machine,VM-PRD-166,VM-89905,N/A,VMware,vSphere 7.0,0,4,0,N/A,N/A,vmnic1,vmnic3,VLAN-140,,10.10.2.63,2022-05-22,N/A,Active,Hot Aisle 2,0,N/A,IT Operations,Prod_App_166,Guest OS: Windows Server 2022; vCPUs: 16; Host: SVR-NWK-032
Facility A,Data Hall 3,Row A,NWK-R68,40U,1U,Patch Panel,PP-NWK-R68-Top,PP-37125,SN-PP-279130,CommScope,24-Port LC Fiber,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-08-28,N/A,Active,Hot Aisle 1,5,Under-floor Path 2,Facilities,Cabling Infrastructure,33 ports in use of 48 total
Facility A,Data Hall 3,Row C,NWK-R35,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R35-POWE,SENS-73556,SN-SENS-532007,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.6.236,,2022-02-07,2027-09-08,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-07-15
Facility A,Data Hall 1,Row F,NWK-R11,40U,1U,Patch Panel,PP-NWK-R11-Top,PP-41599,SN-PP-623850,CommScope,48-Port Cat6A Angled,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-09-01,N/A,Active,Cold Aisle 1,5,Overhead Tray B,Facilities,Cabling Infrastructure,30 ports in use of 48 total
Facility A,Data Hall 1,Row C,NWK-R28,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R28-POWE,SENS-20636,SN-SENS-925549,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.2.138,,2021-11-15,2026-06-27,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-07-06
Facility A,Data Hall 2,Row F,NWK-R03,N/A (Virtual),0U,Virtual Machine,VM-PRD-143,VM-72031,N/A,VMware,vSphere 7.0,0,32,0,N/A,N/A,vmnic5,vmnic6,VLAN-135,,10.10.2.56,2023-06-23,N/A,Active,Cold Aisle 1,0,N/A,Risk Analytics,Prod_App_143,Guest OS: RHEL 8; vCPUs: 16; Host: SVR-NWK-064
Facility A,Data Hall 3,Row E,NWK-R48,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R48-POWE,SENS-99551,SN-SENS-621718,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.9.40,,2023-06-14,2028-02-04,Active,Hot Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-03-06
Facility A,Data Hall 2,Row G,NWK-R40,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R40-POWE,SENS-59113,SN-SENS-833602,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.2.82,,2024-08-22,2027-05-26,Active,Cold Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-12-12
Facility A,Data Hall 3,Row B,NWK-R45,41U,0U,PDU,PDU-NWK-R45-A,PDU-24984,SN-PDU-720928,Vertiv,Vertiv MPH2 ?,0,0,29,Ckt-A-6,N/A,Mgmt-1,,VLAN-200,10.100.8.46,,2021-07-03,2026-11-27,Active,Cold Aisle 3,11,Under-floor Path 1,Facilities,Power Distribution,Rated capacity: 8.6 kW
Facility A,Data Hall 2,Row C,NWK-R48,N/A (Virtual),0U,Virtual Machine,VM-PRD-110,VM-72216,N/A,VMware,vSphere 7.0,0,256,0,N/A,N/A,vmnic7,vmnic4,VLAN-115,,10.10.2.38,2023-09-16,N/A,Active,Cold Aisle 1,0,N/A,Trading Systems,Prod_App_110,Guest OS: RHEL 8; vCPUs: 8; Host: SVR-NWK-029
Facility A,Data Hall 1,Row H,NWK-R22,20U,1U,Cable Management,CM-NWK-R22-20,CM-92173,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-04-22,N/A,Active,Hot Aisle 2,5,N/A,Facilities,Cable Management,
Facility A,Data Hall 3,Row C,NWK-R32,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R32-TEMP,SENS-84647,SN-SENS-573469,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.5.24,,2022-02-22,2027-01-27,Needs Calibration,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-03-07
Facility A,Data Hall 3,Row A,NWK-R52,20U,1U,Cable Management,CM-NWK-R52-20,CM-67711,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-09-15,N/A,Active,Hot Aisle 1,3,N/A,Facilities,Cable Management,
Facility A,Data Hall 1,Row A,NWK-R02,30U,4U,Server,SVR-NWK-021,AST-1021,SN-DC-2022-0021,Dell,PowerEdge R740xd,1,512,482,Ckt-B-7,PDU-A-23,Eth-45/4,Eth-32/4,VLAN-115,10.100.0.13,10.10.0.13,2020-11-23,2026-02-25,Active,Cold Aisle 2,49,Overhead Tray B,QA,App-7,
Facility A,Data Hall 2,Row B,NWK-R58,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R58-HUMI,SENS-10659,SN-SENS-700538,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.10.101,,2021-05-07,2028-04-14,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-03-08
Facility A,Data Hall 1,Row B,NWK-R60,41U,0U,PDU,PDU-NWK-R60-A,PDU-68303,SN-PDU-721497,APC,APC AP8681,0,0,25,Ckt-A-7,N/A,Mgmt-2,,VLAN-200,10.100.6.59,,2019-06-08,2026-04-24,Active,Cold Aisle 2,8,Under-floor Path 2,Facilities,Power Distribution,Rated capacity: 5.7 kW
Facility A,Data Hall 2,Row C,NWK-R49,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R49-AIRF,SENS-78922,SN-SENS-556297,Vertiv,Geist Airflow Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.8.212,,2024-02-08,2027-04-28,Active,Cold Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-07-05
Facility A,Data Hall 3,Row A,NWK-R13,20U,1U,Cable Management,CM-NWK-R13-20,CM-54438,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2020-08-23,N/A,Active,Cold Aisle 2,4,N/A,Facilities,Cable Management,
Facility A,Data Hall 3,Row C,NWK-R32,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R32-AIRF,SENS-63852,SN-SENS-510103,Vertiv,Geist Airflow Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.3.254,,2021-03-18,2029-08-24,Active,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-03-28
Facility A,Data Hall 2,Row B,NWK-R58,20U,1U,Cable Management,CM-NWK-R58-20,CM-30758,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2021-09-01,N/A,Active,Cold Aisle 3,5,N/A,Facilities,Cable Management,
Facility A,Data Hall 3,Row D,NWK-R57,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R57-POWE,SENS-99959,SN-SENS-913594,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.3.118,,2021-12-17,2029-06-23,Active,Hot Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-07-19
Facility A,Data Hall 3,Row A,NWK-R07,42U,0U,PDU,PDU-NWK-R07-B,PDU-82036,SN-PDU-398313,Raritan,Raritan PX3-5902V,0,0,26,Ckt-B-6,N/A,Mgmt-3,,VLAN-200,10.100.4.156,,2020-08-13,2026-05-06,Active,Cold Aisle 2,13,Overhead Tray A,Facilities,Power Distribution,Rated capacity: 17.3 kW
Facility A,Data Hall 2,Row C,NWK-R34,N/A (Virtual),0U,Virtual Machine,VM-PRD-126,VM-89415,N/A,VMware,vSphere 7.0,0,128,0,N/A,N/A,vmnic1,vmnic2,VLAN-119,,10.10.2.48,2021-10-01,N/A,Active,Cold Aisle 3,0,N/A,Core Banking,Prod_App_126,Guest OS: RHEL 8; vCPUs: 8; Host: SVR-NWK-012
Facility A,Data Hall 3,Row G,NWK-R23,40U,1U,Patch Panel,PP-NWK-R23-Top,PP-67469,SN-PP-936433,Panduit,48-Port Cat6A Angled,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-07-22,N/A,Active,Cold Aisle 2,4,Under-floor Path 1,Facilities,Cabling Infrastructure,25 ports in use of 48 total
Facility A,Data Hall 1,Row B,NWK-R60,1U,1U,Patch Panel,PP-NWK-R60-Bottom,PP-38183,SN-PP-976530,Panduit,48-Port Cat6A,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-12-08,N/A,Active,Cold Aisle 1,6,Side Cable Mgmt,Facilities,Cabling Infrastructure,19 ports in use of 48 total
Facility A,Data Hall 3,Row E,NWK-R48,1U,1U,Patch Panel,PP-NWK-R48-Bottom,PP-85248,SN-PP-337144,Panduit,48-Port Cat6A Angled,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2019-10-22,N/A,Active,Cold Aisle 1,3,Overhead Tray B,Facilities,Cabling Infrastructure,26 ports in use of 48 total
Facility A,Data Hall 3,Row E,NWK-R48,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R48-HUMI,SENS-71393,SN-SENS-388698,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.10.235,,2022-02-17,2027-08-10,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-08-01
Facility A,Data Hall 2,Row F,NWK-R44,N/A (Virtual),0U,Virtual Machine,VM-PRD-104,VM-22240,N/A,VMware,vSphere 7.0,0,8,0,N/A,N/A,vmnic3,vmnic4,VLAN-114,,10.10.2.34,2022-03-01,N/A,Active,Hot Aisle 2,0,N/A,Trading Systems,Prod_App_104,Guest OS: Windows Server 2022; vCPUs: 4; Host: SVR-NWK-032
Facility A,Data Hall 2,Row B,NWK-R34,N/A (Virtual),0U,Virtual Machine,VM-PRD-054,VM-16630,N/A,VMware,vSphere 7.0,0,16,0,N/A,N/A,vmnic0,vmnic1,VLAN-115,,10.10.2.11,2022-07-16,N/A,Active,Hot Aisle 2,0,N/A,Core Banking,Prod_App_54,Guest OS: RHEL 9; vCPUs: 16; Host: SVR-NWK-012
Facility A,Data Hall 2,Row B,NWK-R58,30U,1U,Cable Management,CM-NWK-R58-30,CM-22217,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2020-02-15,N/A,Active,Hot Aisle 1,3,N/A,Facilities,Cable Management,
Facility A,Data Hall 1,Row H,NWK-R38,42U,0U,PDU,PDU-NWK-R38-B,PDU-76412,SN-PDU-676710,ServerTech,ServerTech CWG-24VYM415,0,0,25,Ckt-B-1,N/A,Mgmt-1,,VLAN-200,10.100.6.88,,2022-12-19,2026-03-07,Active,Cold Aisle 1,10,Under-floor Path 2,Facilities,Power Distribution,Rated capacity: 8.6 kW
Facility A,Data Hall 1,Row H,NWK-R41,12U,2U,Server,SVR-NWK-082,AST-1082,SN-DC-2019-0082,Dell,PowerEdge R640,2,384,339,Ckt-B-8,PDU-A-03,Eth-26/4,Eth-16/2,VLAN-137,10.100.0.43,10.10.0.43,2021-01-02,2028-08-20,Active,Cold Aisle 2,53,Side Cable Mgmt,Trading Systems,App-14,
Facility A,Data Hall 3,Row A,NWK-R15,32U,2U,Server,SVR-NWK-070,AST-1070,SN-DC-2024-0070,HPE,ProLiant DL380 Gen10,1,384,452,Ckt-B-6,PDU-B-24,Eth-2/3,Eth-5/3,VLAN-115,10.100.0.37,10.10.0.37,2024-11-21,2026-10-24,Active,Cold Aisle 1,43,Overhead Tray A,IT Operations,App-70,
Facility A,Data Hall 1,Row H,NWK-R67,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R67-TEMP,SENS-77662,SN-SENS-295600,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.10.128,,2022-11-27,2029-05-21,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-10-24
Facility A,Data Hall 3,Row G,NWK-R33,41U,0U,PDU,PDU-NWK-R33-A,PDU-61662,SN-PDU-741209,ServerTech,ServerTech CWG-24VYM415,0,0,16,Ckt-A-2,N/A,Mgmt-4,,VLAN-200,10.100.8.212,,2019-04-17,2029-12-02,Active,Cold Aisle 3,11,Side Cable Mgmt,Facilities,Power Distribution,Rated capacity: 5.7 kW
Facility A,Data Hall 3,Row H,NWK-R03,24U,4U,Storage Array,SAN-18,STG-69314,SN-STG-219562,HPE,HPE Nimble AF60,2,128,2149,Ckt-A-1,PDU-B-12,FC-5,FC-6,VLAN-300,10.30.0.180,10.30.1.28,2019-03-16,2026-12-24,Active,Cold Aisle 2,93,Under-floor Path 1,IT Operations,Storage Infrastructure,
Facility A,Data Hall 3,Row C,NWK-R32,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R32-TEMP,SENS-92554,SN-SENS-937965,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.10.234,,2024-07-07,2029-02-18,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-02-11
Facility A,Data Hall 3,Row F,NWK-R16,30U,1U,Cable Management,CM-NWK-R16-30,CM-11846,N/A,CPI,Horizontal Cable Manager 2U,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2021-05-19,N/A,Active,Hot Aisle 2,3,N/A,Facilities,Cable Management,
Facility A,Data Hall 1,Row G,NWK-R41,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R41-HUMI,SENS-26558,SN-SENS-628751,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.2.162,,2024-11-09,2027-06-07,Active,Hot Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-07-01
Facility A,Data Hall 3,Row G,NWK-R33,42U,0U,PDU,PDU-NWK-R33-B,PDU-48165,SN-PDU-560905,APC,APC AP8681,0,0,27,Ckt-B-5,N/A,Mgmt-3,,VLAN-200,10.100.8.43,,2022-05-20,2026-12-17,Active,Hot Aisle 2,12,Under-floor Path 2,Facilities,Power Distribution,Rated capacity: 5.7 kW
Facility A,Data Hall 3,Row B,NWK-R09,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R09-HUMI,SENS-49562,SN-SENS-106887,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.5.253,,2022-04-28,2028-01-25,Active,Cold Aisle 3,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-02-02
Facility A,Data Hall 1,Row D,NWK-R06,1U,1U,Patch Panel,PP-NWK-R06-Bottom,PP-21957,SN-PP-972176,Leviton,48-Port Cat6A,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-02-24,N/A,Active,Cold Aisle 1,4,Side Cable Mgmt,Facilities,Cabling Infrastructure,19 ports in use of 48 total
Facility A,Data Hall 3,Row F,NWK-R66,42U,0U,PDU,PDU-NWK-R66-B,PDU-47274,SN-PDU-578073,ServerTech,ServerTech CWG-24VYM415,0,0,20,Ckt-B-3,N/A,Mgmt-3,,VLAN-200,10.100.3.250,,2020-12-23,2027-03-08,Active,Hot Aisle 1,5,Under-floor Path 1,Facilities,Power Distribution,Rated capacity: 17.3 kW
Facility A,Data Hall 2,Row G,NWK-R55,1U,1U,Patch Panel,PP-NWK-R55-Bottom,PP-66450,SN-PP-252640,Leviton,48-Port Cat6A Angled,0,0,0,N/A,N/A,N/A,N/A,N/A,,,2022-10-22,N/A,Active,Hot Aisle 2,4,Overhead Tray B,Facilities,Cabling Infrastructure,20 ports in use of 48 total
Facility A,Data Hall 3,Row D,NWK-R57,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R57-TEMP,SENS-36170,SN-SENS-346269,Vertiv,Geist Temperature Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.4.224,,2023-04-08,2027-04-27,Needs Calibration,Cold Aisle 1,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-02-04
Facility A,Data Hall 2,Row E,NWK-R54,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R54-HUMI,SENS-33878,SN-SENS-662484,Vertiv,Geist Humidity Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.5.28,,2024-11-27,2029-03-05,Active,Cold Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-06-28
Facility A,Data Hall 2,Row E,NWK-R54,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R54-AIRF,SENS-36013,SN-SENS-216041,Vertiv,Geist Airflow Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.4.73,,2021-03-13,2029-12-11,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2025-08-22
Facility A,Data Hall 2,Row E,NWK-R16,41U,0U,PDU,PDU-NWK-R16-A,PDU-66418,SN-PDU-936726,Raritan,Raritan PX3-5902V,0,0,24,Ckt-A-4,N/A,Mgmt-1,,VLAN-200,10.100.9.96,,2020-07-18,2029-07-08,Active,Hot Aisle 2,15,Under-floor Path 2,Facilities,Power Distribution,Rated capacity: 8.6 kW
Facility A,Data Hall 1,Row A,NWK-R02,0U (Sensor),0U,Environmental Sensor,SENS-NWK-R02-POWE,SENS-44159,SN-SENS-669868,Vertiv,Geist Power Meter Sensor,0,0,1,Sensor Bus,N/A,Sensor Network,,VLAN-250,10.250.9.121,,2022-06-13,2027-10-24,Active,Hot Aisle 2,0,N/A,Facilities,Environmental Monitoring,Calibration due: 2026-09-17
Facility A,Data Hall 1,Row A,NWK-R42,42U,0U,PDU,PDU-NWK-R42-B,PDU-27049,SN-PDU-130401,Raritan,Raritan PX3-5902V,0,0,30,Ckt-B-1,N/A,Mgmt-1,,VLAN-200,10.100.7.14,,2019-07-13,2027-12-20,Active,Cold Aisle 3,15,Under-floor Path 2,Facilities,Power Distribution,Rated capacity: 17.3 kW
